"","industry_code","industry_title","industry_code_long"
"1",10,"Total, all industries","100000"
"2",211,"Oil and gas extraction","211000"
"3",2121,"Coal mining","212100"
"4",213111,"Drilling oil and gas wells","213111"
"5",213112,"Support activities for oil and gas operations","213112"
"6",213113,"Support activities for coal mining","213113"
"7",221112,"Fossil fuel electric power generation","221112"
"8",2212,"Natural gas distribution","221200"
"9",486,"Pipeline transportation","486000"
